DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/10/2018,19:00,MANHATTAN,10019,40.768593,-73.98522,"(40.768593, -73.98522)",WEST 58 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,3860320,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,19:00,BROOKLYN,11221,40.700054,-73.92459,"(40.700054, -73.92459)",WILSON AVENUE                   ,HART STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3860370,TAXI,TAXI,PASSENGER VEHICLE,,
03/10/2018,19:00,BROOKLYN,11211,40.71135,-73.96143,"(40.71135, -73.96143)",DRIGGS AVENUE                   ,SOUTH 4 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860397,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,18:50,,,40.862614,-73.890114,"(40.862614, -73.890114)",WEBSTER AVENUE                  ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3860292,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,18:50,,,40.801754,-73.93121,"(40.801754, -73.93121)",EAST 125 STREET                 ,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865875,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,18:50,BRONX,10452,40.83142,-73.92644,"(40.83142, -73.92644)",JEROME AVENUE                   ,EAST 164 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,,,,3864431,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,18:40,,,40.73736,-73.99685,"(40.73736, -73.99685)",WEST 14 STREET                  ,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3865254,PICK-UP TRUCK,BICYCLE,,,
03/10/2018,18:40,QUEENS,11694,40.58159,-73.84225,"(40.58159, -73.84225)",BEACH CHANNEL DRIVE             ,BEACH 120 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Lane Changing,,,,3860519,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,18:40,QUEENS,11435,40.701775,-73.80794,"(40.701775, -73.80794)",SUTPHIN BOULEVARD               ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3860657,SPORT UTILITY / STATION WAGON,,,,
03/10/2018,18:40,QUEENS,11355,40.755035,-73.83226,"(40.755035, -73.83226)",,,132-40    SANFORD AVENUE                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3860275,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,18:39,MANHATTAN,10023,40.771393,-73.98216,"(40.771393, -73.98216)",BROADWAY                        ,WEST 63 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3860495,PASSENGER VEHICLE,,,,
03/10/2018,18:32,,,40.798256,-73.82744,"(40.798256, -73.82744)",BRONX WHITESTONE BRIDGE         ,,,4,0,0,0,0,0,4,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,Unspecified,,,3863412,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
03/10/2018,18:30,,,40.750965,-73.94027,"(40.750965, -73.94027)",QUEENS PLAZA NORTH              ,CRESCENT STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3860696,TAXI,SPORT UTILITY / STATION WAGON,,,
03/10/2018,18:30,,,40.836617,-73.87377,"(40.836617, -73.87377)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3860946,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,18:30,QUEENS,11432,40.70375,-73.79916,"(40.70375, -73.79916)",160 STREET                      ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,3860185,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,18:30,QUEENS,11355,40.751,-73.82571,"(40.751, -73.82571)",ELDER AVENUE                    ,MAIN STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3860263,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/10/2018,18:30,MANHATTAN,10036,40.756138,-73.98318,"(40.756138, -73.98318)",WEST 44 STREET                  ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860791,SPORT UTILITY / STATION WAGON,TAXI,,,
03/10/2018,18:30,MANHATTAN,10002,40.722816,-73.993095,"(40.722816, -73.993095)",STANTON STREET                  ,BOWERY,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3861505,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,18:30,BROOKLYN,11203,40.644432,-73.9296,"(40.644432, -73.9296)",UTICA AVENUE                    ,CLARENDON ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3860735,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/10/2018,18:28,QUEENS,11426,40.724194,-73.72509,"(40.724194, -73.72509)",JAMAICA AVENUE                  ,243 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860284,TAXI,PASSENGER VEHICLE,,,
03/10/2018,18:25,BROOKLYN,11226,40.649868,-73.96097,"(40.649868, -73.96097)",,,521       OCEAN AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860751,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,18:25,BROOKLYN,11220,40.639782,-74.00151,"(40.639782, -74.00151)",50 STREET                       ,9 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3861068,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,18:24,QUEENS,11368,40.753258,-73.869644,"(40.753258, -73.869644)",,,35-21     98 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3860514,PASSENGER VEHICLE,,,,
03/10/2018,18:22,QUEENS,11358,40.757896,-73.78761,"(40.757896, -73.78761)",194 STREET                      ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3861950,SPORT UTILITY / STATION WAGON,,,,
